title,num_ratings,avg_rating
"Trial, The (Procès, Le) (1962)",5,4.9
"Three Billboards Outside Ebbing, Missouri (2017)",8,4.75
Memories of Murder (Salinui chueok) (2003),5,4.7
Swept Away (Travolti da un insolito destino nell'azzurro mare d'Agosto) (1975),6,4.666666666666667
Yi Yi (2000),5,4.6
Secrets & Lies (1996),11,4.590909090909091
"Day of the Doctor, The (2013)",7,4.571428571428571
Guess Who's Coming to Dinner (1967),11,4.545454545454546
Paths of Glory (1957),12,4.541666666666667
Last Tango in Paris (Ultimo tango a Parigi) (1972),5,4.5
